iter	RMSE
0	0.9615328738
1	0.92517901
2	0.8878628716
3	0.8523287685
4	0.8226631995
5	0.7937155214
6	0.7629731718
7	0.7367720884
8	0.7098075939
9	0.6839011856
10	0.6601761573
11	0.6388741237
12	0.6207360662
13	0.599205374
14	0.5792584539
15	0.5602691785
16	0.5438590457
17	0.5264220666
18	0.5104135623
19	0.4954128443
20	0.4801168475
21	0.4655485716
22	0.4532267097
23	0.4396230112
24	0.4287637187
25	0.4178962971
26	0.4076602382
27	0.3975860113
28	0.388412043
29	0.3798443951
30	0.3723935053
31	0.3648247312
32	0.357329398
33	0.3500670493
34	0.3430164775
35	0.3368610356
36	0.3315597812
37	0.3256063734
38	0.3205313467
39	0.3151892951
40	0.3101957162
41	0.3059743263
42	0.3001726826
43	0.2957442862
44	0.29122695
45	0.287698068
46	0.2847546873
47	0.2804574283
48	0.278121236
49	0.2750377331
50	0.2699699273
51	0.2664431271
52	0.2637200866
53	0.2603512045
54	0.2585059435
55	0.2558545487
56	0.253066967
57	0.2485763574
58	0.246563499
59	0.2436709438
60	0.2413180674
61	0.2385183948
62	0.2369046093
63	0.2354267467
64	0.2325008173
65	0.2311625819
66	0.2294286641
67	0.2280477474
68	0.2243889608
69	0.2232121955
70	0.2200092628
71	0.2190213758
72	0.2173970373
73	0.2160972103
74	0.2128728196
75	0.2113428169
76	0.2105601074
77	0.2096374027
78	0.2084357267
79	0.2067180718
80	0.2057483808
81	0.2042512154
82	0.2034798514
83	0.2025692118
84	0.2001590382
85	0.1985749702
86	0.197752539
87	0.1957759657
88	0.19499459
89	0.1939803827
90	0.192526078
91	0.1914821581
92	0.1908958265
93	0.1904355557
94	0.1882157927
95	0.1877088427
96	0.1872294703
97	0.1868325812
98	0.1856866589
99	0.1849666119
100	0.1845448879
101	0.1835574754
102	0.1830820903
103	0.1825543158
104	0.1806969037
105	0.1802316531
106	0.1795558452
107	0.1792971206
108	0.1788569133
109	0.1783881612
110	0.1777794864
111	0.1772786475
112	0.1769113287
113	0.1764940943
114	0.1760810692
115	0.1759176086
116	0.1756866151
117	0.1750078707
118	0.1745624728
119	0.1729718325
120	0.1725829415
121	0.1716210419
122	0.1711450206
123	0.1706694588
124	0.1699542384
125	0.1691143184
126	0.1684894625
127	0.1675362208
128	0.1667590116
129	0.1659737274
130	0.1654665497
131	0.1649853073
132	0.1645810138
133	0.164384313
134	0.1634345497
135	0.1631649194
136	0.1623254757
137	0.1616514795
138	0.1613167046
139	0.1610103383
140	0.1607947574
141	0.1603932711
142	0.1598154382
143	0.1592850155
144	0.1585738111
145	0.1580551947
146	0.1579935138
147	0.1575380264
148	0.1570348554
149	0.1566039652
150	0.1556796582
151	0.1550407197
152	0.1544865988
153	0.1537973355
154	0.1536030578
155	0.1534786583
156	0.1532671515
157	0.1524046341
158	0.151989328
159	0.1514519522
160	0.150265297
161	0.1499590989
162	0.1491593014
163	0.1487790456
164	0.148547956
165	0.1480384386
166	0.1475325453
167	0.147038803
168	0.1465813345
169	0.1460298866
170	0.1457440536
171	0.1452722143
172	0.145045101
173	0.144589172
174	0.144316939
175	0.1439072277
176	0.1435690125
177	0.1430153596
178	0.1427330537
179	0.1425095163
180	0.1422110678
181	0.1418448599
182	0.1413878016
183	0.1408580722
184	0.1406659524
185	0.1403139623
186	0.140093647
187	0.1392305468
188	0.1389400704
189	0.1382945155
190	0.1378503102
191	0.1375842281
192	0.1372912161
193	0.1368082307
194	0.1367559116
195	0.1363518303
196	0.1361176668
197	0.1353986042
198	0.1347208089
199	0.1344263255
200	0.1338263052
201	0.1336390054
202	0.1333603138
203	0.1325668048
204	0.1320899291
205	0.1317222959
206	0.1313061544
207	0.1310007056
208	0.1308587631
209	0.13028445
210	0.1298101251
211	0.1293132272
212	0.1288319813
213	0.1281144758
214	0.1276711614
215	0.1271999793
216	0.1265897072
217	0.1261523651
218	0.1258563733
219	0.1254161455
220	0.1251520985
221	0.1248920681
222	0.1245708702
223	0.1243130244
224	0.1240464434
225	0.1238576388
226	0.1235389006
227	0.1229228539
228	0.1224427883
229	0.1218755204
230	0.1214667456
231	0.1210671153
232	0.1207995825
233	0.1202810281
234	0.1200025605
235	0.1196766998
236	0.119302618
237	0.1188531634
238	0.1186254042
239	0.1182319728
240	0.1177765232
241	0.117485476
242	0.1172524844
243	0.1168207497
244	0.1164969888
245	0.1162617205
246	0.1159145279
247	0.1156536504
248	0.1153399765
249	0.1150410396
250	0.1147878469
251	0.1146024186
252	0.1143570048
253	0.1141386691
254	0.1136323181
255	0.1132554337
256	0.1130741442
257	0.112793293
258	0.1124355652
259	0.1119002579
260	0.1115859208
261	0.1111911489
262	0.1109986104
263	0.110795434
264	0.110588735
265	0.1104293674
266	0.110037772
267	0.1098833669
268	0.1096165977
269	0.1092344786
270	0.1088903865
271	0.1085234849
272	0.1083487663
273	0.1078990379
274	0.1074671457
275	0.1071480227
276	0.1068215842
277	0.1066149826
278	0.1064727517
279	0.1062110466
280	0.1059348042
281	0.1055158441
282	0.1052788983
283	0.1051300172
284	0.1048096629
285	0.104576843
286	0.1043630053
287	0.1040663163
288	0.1036579905
289	0.1033673668
290	0.103166651
291	0.1030257018
292	0.102711877
293	0.1024120017
294	0.102087348
295	0.1017250266
296	0.1015070663
297	0.101156211
298	0.1008589626
299	0.1005036717
300	0.1002190627
301	0.09996624788
302	0.09962149476
303	0.09929805056
304	0.09906399891
305	0.09886614995
306	0.09861347368
307	0.09823917075
308	0.09806957667
309	0.0977961133
310	0.09752489582
311	0.0973366902
312	0.09701830304
313	0.09664719431
314	0.09632656255
315	0.096041219
316	0.09569920377
317	0.09553006418
318	0.09532897793
319	0.09517159532
320	0.09487492092
321	0.09463058095
322	0.09431760732
323	0.09404465251
324	0.09391048155
325	0.09367783896
326	0.09342006615
327	0.09318738421
328	0.09291470269
329	0.09268169165
330	0.09250699818
331	0.0922465039
332	0.09200759758
333	0.09188445554
334	0.09161256971
335	0.09141326644
336	0.09124052744
337	0.09101211324
338	0.09074100147
339	0.09052115048
340	0.09021826165
341	0.08998065153
342	0.08979696939
343	0.08964834905
344	0.08951346501
345	0.08935196159
346	0.08915596319
347	0.08894032385
348	0.08874387613
349	0.08856630457
350	0.08851030576
351	0.08828311155
352	0.08812573464
353	0.08796831739
354	0.08772909455
355	0.08748511936
356	0.08728484058
357	0.08701765201
358	0.08677861992
359	0.08664265598
360	0.08647473956
361	0.08624244436
362	0.08604621561
363	0.08574707893
364	0.08549533458
365	0.08530536613
366	0.08509242396
367	0.08490894132
368	0.08467319538
369	0.08448810986
370	0.08425297112
371	0.08405758675
372	0.08389473877
373	0.08371065562
374	0.08349318099
375	0.08331169333
376	0.08320918462
377	0.08302490557
378	0.08278980174
379	0.08266714799
380	0.08254477744
381	0.08234995963
382	0.08213009721
383	0.08198844207
384	0.08182120126
385	0.08167104236
386	0.08145301927
387	0.08127834774
388	0.08112892054
389	0.08096105741
390	0.08084288729
391	0.08072217876
392	0.08049753859
393	0.08037131334
394	0.08024918529
395	0.08006359613
396	0.07994632723
397	0.07970178752
398	0.07961345568
399	0.07947920304
400	0.07938644792
401	0.07920292694
402	0.07903064893
403	0.07890881089
404	0.0787612454
405	0.07860621208
406	0.07848527042
407	0.07835130181
408	0.07821234948
409	0.07807535807
410	0.0779078566
411	0.07777334304
412	0.0776048307
413	0.07748976992
414	0.07732514669
415	0.07719000849
416	0.0770343742
417	0.07695742247
418	0.07682539622
419	0.07667616794
420	0.07651400148
421	0.0763645311
422	0.07625162938
423	0.07617331576
424	0.07600069129
425	0.07578544788
426	0.07563529089
427	0.07550685612
428	0.0753429135
429	0.07521970291
430	0.07510316856
431	0.07496206884
432	0.07484563437
433	0.07477768801
434	0.07462697973
435	0.07451687072
436	0.0744086365
437	0.07427047166
438	0.07411537052
439	0.07398651454
440	0.07390034063
441	0.07381516354
442	0.0736705307
443	0.07355988451
444	0.07341254109
445	0.0732787568
446	0.07317623778
447	0.07305919728
448	0.072974793
449	0.07282994193
450	0.07276991078
451	0.07261340363
452	0.07249112111
453	0.07231302026
454	0.07213249733
455	0.07200215688
456	0.07186825525
457	0.07172329367
458	0.07164940622
459	0.07150366731
460	0.07136896186
461	0.07126220394
462	0.07111986957
463	0.07097716436
464	0.07091367245
465	0.07077388633
466	0.07068572042
467	0.07052917003
468	0.0704217123
469	0.07033039369
470	0.07027607067
471	0.07019890774
472	0.07006794282
473	0.0699525479
474	0.06979824523
475	0.0696376983
476	0.06953900872
477	0.06947142575
478	0.06939941196
479	0.06927796938
480	0.06919486813
481	0.06907380441
482	0.06895940907
483	0.06884896866
484	0.06873124834
485	0.0686620441
486	0.06858262984
487	0.06845944117
488	0.0683287352
489	0.06817876014
490	0.06810651932
491	0.06793985796
